UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Timestamp,Last_Maintenance_Date,Days_Until_Next_Maintenance,Type_encoded
12,H29425,H,296.48314810748155,305.1333083144489,1405.5609625119587,43.81420044321867,30.03136504167815,0,0,0,0,0,0,2023-01-01 11:00:00,2023-01-01 10:00:00,0.0,0
13,M14872,M,299.7015497856749,312.9308261209002,1285.7089535193425,51.23124308494061,32.63288653130604,0,0,0,0,0,0,2023-01-01 12:00:00,2023-01-01 12:00:00,0.0,2
14,M14873,M,289.900465160424,313.51444072504137,1783.5493694801974,30.86360764154696,39.93410414411923,0,0,0,0,0,0,2023-01-01 13:00:00,2023-01-01 13:00:00,0.0,2
15,L47194,L,,,,,,0,0,0,0,0,0,2023-01-01 14:00:00,2023-01-01 14:00:00,-2.0,1
16,L47195,L,296.0444423658446,303.0423842909978,1599.7641047444545,47.420500972304566,42.26240644468,0,0,0,0,0,0,2023-01-01 15:00:00,2023-01-01 15:00:00,0.0,1
17,M14876,M,293.99564965876215,307.01946138191073,1332.4047835116176,46.29689274617232,46.07849670770233,0,0,0,0,0,0,2023-01-01 16:00:00,2023-01-01 15:00:00,0.0,2
18,M14877,M,300.13077417734735,313.0513888618399,1421.9452595136247,45.672397371332686,46.829165247110176,0,0,0,0,0,0,2023-01-01 17:00:00,2023-01-01 15:00:00,0.0,2
19,H29432,H,294.6724706524084,309.39440583211325,1290.3725287590585,54.28953534579455,44.73314711165374,0,0,0,0,0,0,2023-01-01 18:00:00,2023-01-01 18:00:00,0.0,0
20,M14879,M,292.4793078565448,304.2753754680655,1604.10673386777,32.284102027049464,58.014895486891945,0,0,0,0,0,0,2023-01-01 19:00:00,2023-01-01 19:00:00,0.0,2
21,H29434,H,305.56718986408254,311.44481782989527,1388.9412097221511,41.26820624698361,61.63590687868651,0,0,0,0,0,0,2023-01-01 20:00:00,2023-01-01 19:00:00,0.0,0
22,L47201,L,297.77536229968194,305.95487378270855,1448.0936023082147,43.845747145663026,57.694705042696086,0,0,0,0,0,0,2023-01-01 21:00:00,2023-01-01 19:00:00,0.0,1
23,M14882,M,299.2092945418756,317.6979450997845,1545.298158303894,30.37375068817407,61.97727107648431,0,0,0,0,0,0,2023-01-01 22:00:00,2023-01-01 22:00:00,0.0,2
24,L47203,L,,,,,,0,0,0,0,0,0,2023-01-01 23:00:00,2023-01-01 23:00:00,0.0,1
25,M14884,M,296.5267675792689,312.22703080205343,1535.4431812042753,37.848126470069964,70.67227436612744,0,0,0,0,0,0,2023-01-02 00:00:00,2023-01-02 00:00:00,0.0,2
26,L47205,L,299.50693535612515,315.86918435391703,1909.542764562578,22.163669570886654,73.01028910851676,0,0,0,0,0,0,2023-01-02 01:00:00,2023-01-02 01:00:00,0.0,1
27,L47206,L,293.86834325331216,309.8032079504302,1571.0008581125712,39.58778365680765,73.76463881800034,0,0,0,0,0,0,2023-01-02 02:00:00,2023-01-02 02:00:00,0.0,1
28,H29441,H,300.8112288616553,312.9820635533897,1816.4645354280033,25.114700129324763,74.01374391216773,0,0,0,0,0,0,2023-01-02 03:00:00,2023-01-02 03:00:00,0.0,0
29,L47208,L,296.3713384230119,316.3153759135197,1442.9704696443264,43.758946363473285,81.43671352020206,0,0,0,0,0,0,2023-01-02 04:00:00,2023-01-02 03:00:00,0.0,1
30,L47209,L,,,,,,0,0,0,0,0,0,2023-01-02 05:00:00,2023-01-02 05:00:00,0.0,1
31,M14890,M,296.36668222448634,308.30578535400815,1314.0887870903143,48.83694575574748,85.95457622854914,0,0,0,0,0,0,2023-01-02 06:00:00,2023-01-02 05:00:00,0.0,2
32,L47211,L,,,,,,0,0,0,0,0,0,2023-01-02 07:00:00,2023-01-02 07:00:00,-2.0,1
33,L47212,L,298.94182458686436,309.01095507505164,1468.9452030311284,47.962987695355814,96.11578554413764,0,0,0,0,0,0,2023-01-02 08:00:00,2023-01-02 07:00:00,0.0,1
34,L47213,L,,,,,,0,0,0,0,0,0,2023-01-02 09:00:00,2023-01-02 09:00:00,0.0,1
35,M14894,M,302.5440116088699,313.5253372230253,1556.7917208806305,34.91112987161894,95.87751983095333,0,0,0,0,0,0,2023-01-02 10:00:00,2023-01-02 10:00:00,0.0,2
36,M14895,M,,,,,,0,0,0,0,0,0,2023-01-02 11:00:00,2023-01-02 10:00:00,1.0,2
37,M14896,M,,,,,,0,0,0,0,0,0,2023-01-02 12:00:00,2023-01-02 12:00:00,0.0,2
38,L47217,L,289.89190590457713,299.8489500505021,1470.613564723952,39.30087551375714,104.51587268289778,0,0,0,0,0,0,2023-01-02 13:00:00,2023-01-02 12:00:00,0.0,1
39,H29452,H,292.8637441706764,306.8825123322454,1344.0261468036292,49.39881402370448,111.42468820218534,0,0,0,0,0,0,2023-01-02 14:00:00,2023-01-02 14:00:00,0.0,0
40,L47219,L,,,,,,0,0,0,0,0,0,2023-01-02 15:00:00,2023-01-02 15:00:00,-2.0,1
41,L47220,L,302.16225769428036,307.6355676245172,1381.4131396204991,46.017347271947706,116.09532176945194,0,0,0,0,0,0,2023-01-02 16:00:00,2023-01-02 15:00:00,0.0,1
42,L47221,L,299.58342058739225,311.994695123156,1364.2105792697953,52.27593893871169,114.59108394798923,0,0,0,0,0,0,2023-01-02 17:00:00,2023-01-02 17:00:00,0.0,1
43,M14902,M,298.278283686693,318.3924884827201,1391.8071178120706,48.335792551411245,122.21394573069192,0,0,0,0,0,0,2023-01-02 18:00:00,2023-01-02 17:00:00,0.0,2
44,H29457,H,297.43500645731876,309.77808698286407,1375.936055758166,48.08148174455667,115.2325838142665,0,0,0,0,0,0,2023-01-02 19:00:00,2023-01-02 17:00:00,0.0,0
45,M14904,M,292.080677031801,308.0857473033351,1504.4458619490597,47.441992462134436,125.18819765398453,0,0,0,0,0,0,2023-01-02 20:00:00,2023-01-02 17:00:00,0.0,2
46,L47225,L,295.53094163009007,307.8869042012846,1448.4215355951178,48.30685530817289,123.71531243008994,0,0,0,0,0,0,2023-01-02 21:00:00,2023-01-02 17:00:00,0.0,1
47,M14906,M,296.6098048900972,309.5820908217996,1833.7024601292137,26.641900859547263,127.96934871788696,0,0,0,0,0,0,2023-01-02 22:00:00,2023-01-02 22:00:00,0.0,2
48,L47227,L,,,,,,0,0,0,0,0,0,2023-01-02 23:00:00,2023-01-02 22:00:00,0.0,1
49,H29462,H,300.36744604151755,309.7625003734704,1353.7651462766937,54.02600528068662,134.22654715528176,0,0,0,0,0,0,2023-01-03 00:00:00,2023-01-03 00:00:00,0.0,0
50,M14909,M,290.8873024268352,311.3096934122767,1383.0510177554222,44.6434623713809,136.55716197374375,0,0,0,0,0,0,2023-01-03 01:00:00,2023-01-03 00:00:00,0.0,2
51,L47230,L,,,,,,1,0,0,1,0,0,2023-01-03 02:00:00,2023-01-03 02:00:00,0.0,1
52,L47231,L,297.1539064405512,311.24118631239014,1408.276973536306,54.2412346919981,146.33411018309397,0,0,0,0,0,0,2023-01-03 03:00:00,2023-01-03 03:00:00,0.0,1
53,H29466,H,295.7268357454782,311.0298345903292,1478.157195106706,43.77319225444939,142.56161512541138,0,0,0,0,0,0,2023-01-03 04:00:00,2023-01-03 03:00:00,0.0,0
54,L47233,L,301.4869678015786,300.7079492806535,1543.191910802469,34.40989237132846,150.16040929734956,0,0,0,0,0,0,2023-01-03 05:00:00,2023-01-03 05:00:00,0.0,1
55,L47234,L,303.39398304155935,311.9803993133266,1712.792275683516,30.21730100854505,161.36201970499536,0,0,0,0,0,0,2023-01-03 06:00:00,2023-01-03 06:00:00,0.0,1
56,L47235,L,303.0405990456678,305.9598117545921,1468.8702530873984,41.5617700357992,156.9538991768979,0,0,0,0,0,0,2023-01-03 07:00:00,2023-01-03 07:00:00,0.0,1
57,L47236,L,294.9891809054517,303.971736026756,1421.7854350575421,41.44458658081553,152.73345612085126,0,0,0,0,0,0,2023-01-03 08:00:00,2023-01-03 07:00:00,0.0,1
58,L47237,L,297.3995334166312,303.9314308247151,1503.3607875823568,39.045982420454706,155.9424284870478,0,0,0,0,0,0,2023-01-03 09:00:00,2023-01-03 09:00:00,0.0,1
59,M14918,M,300.31226250069614,311.0288705650871,1622.4074938728215,29.570143847770826,162.6545126544995,0,0,0,0,0,0,2023-01-03 10:00:00,2023-01-03 10:00:00,0.0,2
60,L47239,L,303.2422992500304,308.0584028211716,1340.4212181526773,53.78685167394693,165.29165984028512,0,0,0,0,0,0,2023-01-03 11:00:00,2023-01-03 11:00:00,0.0,1
61,L47240,L,296.62691497568323,301.2287902365265,1408.286415458722,52.65649161452698,165.29800123112662,0,0,0,0,0,0,2023-01-03 12:00:00,2023-01-03 12:00:00,0.0,1
62,M14921,M,297.9618056522759,311.2371021115715,1615.351431693424,38.49856918692832,175.35469418565737,0,0,0,0,0,0,2023-01-03 13:00:00,2023-01-03 13:00:00,0.0,2
63,L47242,L,293.77503796339266,302.2629798587166,1850.029291121016,21.136864768409882,179.58724630930303,0,0,0,0,0,0,2023-01-03 14:00:00,2023-01-03 14:00:00,0.0,1
64,M14923,M,293.4664376282602,309.6543303614131,1841.5574152170182,26.508756895661577,173.23400175868704,0,0,0,0,0,0,2023-01-03 15:00:00,2023-01-03 15:00:00,0.0,2
65,L47244,L,302.70145308198136,310.2161176653276,1556.0857635717223,37.65302021222577,179.52921902657582,0,0,0,0,0,0,2023-01-03 16:00:00,2023-01-03 16:00:00,0.0,1
66,L47245,L,305.1741489338027,313.2442879547561,1337.2567198774336,45.11371451247613,181.67469051030082,0,0,0,0,0,0,2023-01-03 17:00:00,2023-01-03 16:00:00,0.0,1
67,M14926,M,298.57913610867587,317.2378566952,1691.0069386333016,28.18107750297859,184.05918257619973,0,0,0,0,0,0,2023-01-03 18:00:00,2023-01-03 18:00:00,0.0,2
68,H29481,H,303.37037763468214,302.5136427009321,1451.8818732235243,43.67148076640732,182.14547999144975,0,0,0,0,0,0,2023-01-03 19:00:00,2023-01-03 18:00:00,0.0,0
69,L47248,L,300.45138639707653,308.6544349621091,1507.0754024026041,33.85159159247127,194.6191686585387,0,0,0,0,0,0,2023-01-03 20:00:00,2023-01-03 20:00:00,0.0,1
70,L47249,L,295.97316213431606,307.7068172173859,1424.939354850142,66.00160832057105,190.80125325699618,1,0,0,1,1,0,2023-01-03 21:00:00,2023-01-03 21:00:00,0.0,1
71,M14930,M,300.55049335165205,311.02984430837637,1877.8743339589803,23.39204731848684,194.22263818758097,0,0,0,0,0,0,2023-01-03 22:00:00,2023-01-03 22:00:00,0.0,2
72,L47251,L,305.90148805938753,310.10927802680544,1405.3195042728262,45.66173317560518,196.00592066475696,0,0,0,0,0,0,2023-01-03 23:00:00,2023-01-03 23:00:00,0.0,1
73,L47252,L,298.7442877683493,307.45016829424793,1385.889580505618,44.954799674505274,197.59528707715415,0,0,0,0,0,0,2023-01-04 00:00:00,2023-01-04 00:00:00,0.0,1
74,L47253,L,306.1226867939845,307.0366836978346,1605.0032443617908,35.385712467499204,200.8066215922489,0,0,0,0,0,0,2023-01-04 01:00:00,2023-01-04 01:00:00,0.0,1
75,L47254,L,286.99385303733874,303.7752782599565,1604.6449756096056,32.54986116982976,198.56413223418986,0,0,0,0,0,0,2023-01-04 02:00:00,2023-01-04 02:00:00,0.0,1
76,L47255,L,302.5451960759249,313.522954841037,1355.5435485887524,47.663986562793575,198.28897587615205,0,0,0,0,0,0,2023-01-04 03:00:00,2023-01-04 03:00:00,0.0,1
77,L47256,L,,,,,,0,0,0,0,0,0,2023-01-04 04:00:00,2023-01-04 04:00:00,-2.0,1
78,L47257,L,297.4479446776232,313.1949346431826,1473.1352979132857,43.2508491644645,205.44913589921137,1,1,0,0,0,0,2023-01-04 05:00:00,2023-01-04 05:00:00,0.0,1
79,L47258,L,299.2251026628883,307.4474206636692,1400.2740206043345,52.342772468122774,1.586283095458524,0,0,0,0,0,0,2023-01-04 06:00:00,2023-01-04 06:00:00,0.0,1
80,L47259,L,289.76923933844023,305.8261678317639,1370.6153504972763,36.98571522899281,3.256820772914241,0,0,0,0,0,0,2023-01-04 07:00:00,2023-01-04 06:00:00,0.0,1
81,H29494,H,,,,,,0,0,0,0,0,0,2023-01-04 08:00:00,2023-01-04 06:00:00,-1.0,0
82,L47261,L,300.5321173964853,310.5796480507371,1472.3347034402127,47.872712561042164,13.292568505761293,0,0,0,0,0,0,2023-01-04 09:00:00,2023-01-04 06:00:00,0.0,1
83,L47262,L,305.6290853967001,304.0340175520336,1488.379841088885,40.878135530353404,10.98195653819057,0,0,0,0,0,0,2023-01-04 10:00:00,2023-01-04 06:00:00,0.0,1
84,L47263,L,296.65142532374165,317.65129896367245,1460.2952911843631,40.71624090335428,8.775297727132141,0,0,0,0,0,0,2023-01-04 11:00:00,2023-01-04 06:00:00,0.0,1
85,L47264,L,295.2317050778691,302.7805469224893,1415.3442975107998,48.30891883896762,14.352035257118953,0,0,0,0,0,0,2023-01-04 12:00:00,2023-01-04 06:00:00,0.0,1
86,M14945,M,296.7267209537613,310.2806636025163,1799.6897432340959,25.704550306648155,20.392646384987838,0,0,0,0,0,0,2023-01-04 13:00:00,2023-01-04 13:00:00,0.0,2
87,H29500,H,303.1714966647556,316.3325035439377,1443.3280103157886,45.01502808449318,14.540746564027696,0,0,0,0,0,0,2023-01-04 14:00:00,2023-01-04 13:00:00,0.0,0
88,L47267,L,300.5037416219426,311.8035961233126,1528.5100929053226,31.427601836440857,24.72754843125999,0,0,0,0,0,0,2023-01-04 15:00:00,2023-01-04 15:00:00,0.0,1
89,M14948,M,,,,,,0,0,0,0,0,0,2023-01-04 16:00:00,2023-01-04 15:00:00,-1.0,2
90,M14949,M,301.2430486754426,304.36772924068896,1518.7964563124035,39.04298003922868,37.6843450546163,0,0,0,0,0,0,2023-01-04 17:00:00,2023-01-04 15:00:00,0.0,2
91,L47270,L,299.35048295000064,302.43365221074436,1800.8422465909211,26.521585574214374,36.500686372491714,0,0,0,0,0,0,2023-01-04 18:00:00,2023-01-04 18:00:00,0.0,1
92,L47271,L,303.3141247669022,312.5036494811241,1813.6748395080808,24.721874944520057,35.38422961446674,0,0,0,0,0,0,2023-01-04 19:00:00,2023-01-04 19:00:00,0.0,1
93,M14952,M,,,,,,0,0,0,0,0,0,2023-01-04 20:00:00,2023-01-04 20:00:00,-2.0,2
94,L47273,L,297.61923637011535,306.9462874919907,1446.3452179218536,42.69156953597157,34.50180484372288,0,0,0,0,0,0,2023-01-04 21:00:00,2023-01-04 20:00:00,0.0,1
95,L47274,L,297.2262617375779,303.5694658394894,1617.001581161855,30.4448986554441,38.95863858932646,0,0,0,0,0,0,2023-01-04 22:00:00,2023-01-04 22:00:00,0.0,1
96,M14955,M,292.3540304003781,297.4963577170779,1377.53821729374,51.542570471675965,45.88601468536773,0,0,0,0,0,0,2023-01-04 23:00:00,2023-01-04 23:00:00,0.0,2
97,M14956,M,,,,,,0,0,0,0,0,0,2023-01-05 00:00:00,2023-01-05 00:00:00,-1.0,2
98,M14957,M,300.09688934339755,308.36811328671376,1728.8705129297387,29.723108474057792,50.83657020341196,0,0,0,0,0,0,2023-01-05 01:00:00,2023-01-05 01:00:00,0.0,2
99,L47278,L,298.9330680231474,316.2835125277693,1493.8542605997973,33.30474080549653,53.09884042904483,0,0,0,0,0,0,2023-01-05 02:00:00,2023-01-05 02:00:00,0.0,1
100,L47279,L,297.7431053294749,311.95010393823884,1546.075800513036,44.912914642678906,54.98525013602838,0,0,0,0,0,0,2023-01-05 03:00:00,2023-01-05 03:00:00,0.0,1
101,L47280,L,292.37347179638573,310.32772638772224,1867.9815798047655,26.101650961144262,57.2982210974124,0,0,0,0,0,0,2023-01-05 04:00:00,2023-01-05 04:00:00,0.0,1
102,L47281,L,,,,,,0,0,0,0,0,0,2023-01-05 05:00:00,2023-01-05 05:00:00,-1.0,1
103,L47282,L,297.25168547645814,306.07092456703526,1529.1903858341052,40.20848667740189,60.336729594839134,0,0,0,0,0,0,2023-01-05 06:00:00,2023-01-05 06:00:00,0.0,1
104,M14963,M,,,,,,0,0,0,0,0,0,2023-01-05 07:00:00,2023-01-05 06:00:00,0.0,2
105,L47284,L,298.07695172481533,309.63940813703977,1403.5171469586637,43.4246218327957,64.2048424059101,0,0,0,0,0,0,2023-01-05 08:00:00,2023-01-05 06:00:00,0.0,1
106,L47285,L,300.64797747059583,298.86033397735247,1609.9163181178183,29.35214523382963,71.46489708863949,0,0,0,0,0,0,2023-01-05 09:00:00,2023-01-05 09:00:00,0.0,1
107,L47286,L,,,,,,0,0,0,0,0,0,2023-01-05 10:00:00,2023-01-05 09:00:00,-2.0,1
108,M14967,M,,,,,,0,0,0,0,0,0,2023-01-05 11:00:00,2023-01-05 09:00:00,-2.0,2
109,H29522,H,,,,,,0,0,0,0,0,0,2023-01-05 12:00:00,2023-01-05 12:00:00,1.0,0
110,L47289,L,298.5723652551356,311.3342866332517,1594.1622436202117,34.583127949043934,78.88485288898725,0,0,0,0,0,0,2023-01-05 13:00:00,2023-01-05 13:00:00,0.0,1
111,L47290,L,290.08520832740373,308.0971837701945,1857.439030060307,22.942883395579017,79.07787261670148,0,0,0,0,0,0,2023-01-05 14:00:00,2023-01-05 14:00:00,0.0,1
112,H29525,H,298.5905413753662,308.2402883645397,1485.1690072909714,42.07346205406462,82.84091825466224,0,0,0,0,0,0,2023-01-05 15:00:00,2023-01-05 14:00:00,0.0,0
113,M14972,M,299.0851190785851,314.84673879201637,1500.6823521962951,39.98987293020671,89.5307231421345,0,0,0,0,0,0,2023-01-05 16:00:00,2023-01-05 14:00:00,0.0,2
114,M14973,M,310.01316050054436,305.3407294463463,1499.7058068482368,42.105816799588204,93.68087930399038,0,0,0,0,0,0,2023-01-05 17:00:00,2023-01-05 14:00:00,0.0,2
115,L47294,L,297.9366352820264,317.3240058489424,1713.3642047270016,29.97855807636597,95.35444675168621,0,0,0,0,0,0,2023-01-05 18:00:00,2023-01-05 18:00:00,0.0,1
116,L47295,L,300.1828337371035,305.45844177501704,1418.8378591531682,46.650216761705096,98.88174014278577,0,0,0,0,0,0,2023-01-05 19:00:00,2023-01-05 18:00:00,0.0,1
117,L47296,L,298.7537613338742,309.1174261274918,1521.0335469102693,34.0382737621083,94.59560924817978,0,0,0,0,0,0,2023-01-05 20:00:00,2023-01-05 20:00:00,0.0,1
118,L47297,L,293.4970344243895,307.2840347414692,1603.1844196868644,34.10078767767589,103.51098251908932,0,0,0,0,0,0,2023-01-05 21:00:00,2023-01-05 21:00:00,0.0,1
119,M14978,M,304.0089200278308,309.1775718894797,1694.80595436275,27.414508795138133,99.7311014837729,0,0,0,0,0,0,2023-01-05 22:00:00,2023-01-05 22:00:00,0.0,2
120,L47299,L,,,,,,0,0,0,0,0,0,2023-01-05 23:00:00,2023-01-05 22:00:00,0.0,1
121,L47300,L,302.50931552892837,310.73024468113795,1440.9351631776428,45.11868838919604,109.45562108257622,0,0,0,0,0,0,2023-01-06 00:00:00,2023-01-05 22:00:00,0.0,1
122,L47301,L,294.7765853220868,305.1755918526766,1552.3188813909262,40.95172403238764,104.58149742729961,0,0,0,0,0,0,2023-01-06 01:00:00,2023-01-06 01:00:00,0.0,1
123,L47302,L,305.3915674494314,303.5450291248986,1318.1709048179296,50.97980626355755,114.13520331824047,0,0,0,0,0,0,2023-01-06 02:00:00,2023-01-06 02:00:00,0.0,1
124,L47303,L,292.5372572136916,320.4142425161676,1522.1561912693394,45.12927596242418,116.88309677538132,0,0,0,0,0,0,2023-01-06 03:00:00,2023-01-06 03:00:00,0.0,1
125,L47304,L,301.5812101704911,306.4350695830362,1739.9745743667977,29.791159805531183,119.64445284664698,0,0,0,0,0,0,2023-01-06 04:00:00,2023-01-06 04:00:00,0.0,1
126,L47305,L,308.8738379013221,311.87214620533933,1524.889215586225,32.43990672362085,115.7731392239057,0,0,0,0,0,0,2023-01-06 05:00:00,2023-01-06 05:00:00,0.0,1
127,L47306,L,294.50805328970085,301.0766249528307,1306.934600132508,59.83538740769627,120.51980725858321,0,0,0,0,0,0,2023-01-06 06:00:00,2023-01-06 06:00:00,0.0,1
128,L47307,L,296.3374216382334,307.2914796565427,1406.524469762576,45.14062140340065,124.0120290717182,0,0,0,0,0,0,2023-01-06 07:00:00,2023-01-06 06:00:00,0.0,1
129,L47308,L,299.4659930903584,308.0047374465904,1633.4328407754788,38.6031232257936,126.13336075988188,0,0,0,0,0,0,2023-01-06 08:00:00,2023-01-06 08:00:00,0.0,1
130,L47309,L,296.6233117093588,310.7126609186617,1579.9216248154153,35.25720290680373,127.18650501887291,0,0,0,0,0,0,2023-01-06 09:00:00,2023-01-06 09:00:00,0.0,1
131,L47310,L,291.7612188224903,295.65956877486815,1501.715454840545,40.89456747941557,126.76390627475989,0,0,0,0,0,0,2023-01-06 10:00:00,2023-01-06 09:00:00,0.0,1
132,L47311,L,,,,,,0,0,0,0,0,0,2023-01-06 11:00:00,2023-01-06 11:00:00,0.0,1
133,M14992,M,293.8822846441164,303.0194862502035,1537.0431520680374,44.459671900278536,134.8793958409271,0,0,0,0,0,0,2023-01-06 12:00:00,2023-01-06 11:00:00,0.0,2
134,M14993,M,300.8670288743067,309.91785999419614,1431.1086681225527,50.839264001861295,134.55300926953228,0,0,0,0,0,0,2023-01-06 13:00:00,2023-01-06 11:00:00,0.0,2
135,L47314,L,294.63224391063693,303.55022836928225,1406.8645956057114,53.42570720571703,135.72980567986983,0,0,0,0,0,0,2023-01-06 14:00:00,2023-01-06 14:00:00,0.0,1
136,M14995,M,,,,,,0,0,0,0,0,0,2023-01-06 15:00:00,2023-01-06 15:00:00,0.0,2
137,H29550,H,295.15169541944624,307.2194885309465,1446.5519173732866,44.4968795654491,146.95428808473986,0,0,0,0,0,0,2023-01-06 16:00:00,2023-01-06 15:00:00,0.0,0
138,L47317,L,297.24911211898876,303.67535093730766,1344.2971148854867,54.840914719910096,150.75440168139053,0,0,0,0,0,0,2023-01-06 17:00:00,2023-01-06 17:00:00,0.0,1
139,H29552,H,302.51337216714046,306.37461305129443,1437.8220867137657,49.2338597268775,149.94193871229808,0,0,0,0,0,0,2023-01-06 18:00:00,2023-01-06 17:00:00,0.0,0
140,L47319,L,293.2164391462502,303.01528814905026,1254.7062133947588,55.15600517525365,154.4229352151192,0,0,0,0,0,0,2023-01-06 19:00:00,2023-01-06 19:00:00,0.0,1
141,L47320,L,299.848417293925,300.0212027625554,1519.5242072568947,36.377753644978995,151.87703027188184,0,0,0,0,0,0,2023-01-06 20:00:00,2023-01-06 20:00:00,0.0,1
142,L47321,L,304.65848498284265,313.26379440936654,1539.1296476449518,36.87018455197483,158.75546457403658,0,0,0,0,0,0,2023-01-06 21:00:00,2023-01-06 21:00:00,0.0,1
143,M15002,M,291.3040267026919,302.33480353379656,1786.4904943403417,29.541038566693896,157.54898056326874,0,0,0,0,0,0,2023-01-06 22:00:00,2023-01-06 22:00:00,0.0,2
144,H29557,H,299.4539617832081,307.56381637966336,1448.6592595905686,50.77542234920032,164.46066938339686,0,0,0,0,0,0,2023-01-06 23:00:00,2023-01-06 23:00:00,0.0,0
145,M15004,M,,,,,,0,0,0,0,0,0,2023-01-07 00:00:00,2023-01-06 23:00:00,0.0,2
146,L47325,L,302.06993990792,305.5222093597685,1504.8779652136816,33.06254526379858,169.15933648132645,0,0,0,0,0,0,2023-01-07 01:00:00,2023-01-07 01:00:00,0.0,1
147,H29560,H,292.889461652033,304.5384218610927,1616.6467272378393,37.39811505454537,174.69125772121845,0,0,0,0,0,0,2023-01-07 02:00:00,2023-01-07 02:00:00,0.0,0
148,L47327,L,292.4098102034318,309.45873989419056,1508.9135600871577,38.86609965720352,181.89086856053154,0,0,0,0,0,0,2023-01-07 03:00:00,2023-01-07 03:00:00,0.0,1
149,M15008,M,300.688403639888,313.53166167181587,1327.9770419854335,48.837760588180416,181.6382621260423,0,0,0,0,0,0,2023-01-07 04:00:00,2023-01-07 03:00:00,0.0,2
150,L47329,L,299.76548941226775,302.8278855239402,1457.5351419921024,40.389071370192234,182.48186350501263,0,0,0,0,0,0,2023-01-07 05:00:00,2023-01-07 03:00:00,0.0,1
151,L47330,L,299.55416325778873,307.5973442238686,1440.3237770573674,42.142229082609056,186.03009254506992,0,0,0,0,0,0,2023-01-07 06:00:00,2023-01-07 03:00:00,0.0,1
152,M15011,M,299.9906301662389,300.0923415815366,1501.3216636246816,37.50057432809869,190.77343789897532,0,0,0,0,0,0,2023-01-07 07:00:00,2023-01-07 03:00:00,0.0,2
153,M15012,M,295.3227401499719,306.35991378159986,1553.2205458143978,40.126548191035496,191.76076716402835,0,0,0,0,0,0,2023-01-07 08:00:00,2023-01-07 08:00:00,0.0,2
154,L47333,L,299.4715192821055,308.3600697048935,1819.096218873914,26.162709565510472,193.99023440690485,0,0,0,0,0,0,2023-01-07 09:00:00,2023-01-07 09:00:00,0.0,1
155,L47334,L,299.74819900203136,304.2005620268718,1528.805963087515,34.94524745521737,199.34969493498969,0,0,0,0,0,0,2023-01-07 10:00:00,2023-01-07 10:00:00,0.0,1
156,H29569,H,295.16693643342035,306.06138802427137,1931.6694475531365,20.519637828192792,199.49187219281436,0,0,0,0,0,0,2023-01-07 11:00:00,2023-01-07 11:00:00,0.0,0
157,M15016,M,306.90042192352126,301.50983709482296,1483.1381259908133,47.08655852432066,199.5148292783234,0,0,0,0,0,0,2023-01-07 12:00:00,2023-01-07 12:00:00,0.0,2
158,H29571,H,300.5705259712127,308.5607093807196,1431.7211434680185,41.7690782512309,207.82939270041751,0,0,0,0,0,0,2023-01-07 13:00:00,2023-01-07 13:00:00,0.0,0
